ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1527121,Tyup,42.7276,78.3648,15.71,33,0,0.55,KG,2021-04-30 02:05:41
2126682,Bilibino,68.0546,166.4372,-4.15,87,100,2.87,RU,2021-04-30 02:05:42
933734,Gweta,-20.1833,25.2333,19.52,69,35,0.73,BW,2021-04-30 02:05:42
98182,Baghdad,33.3406,44.4009,23.0,38,0,3.09,IQ,2021-04-30 02:05:22
2094027,Kieta,-6.2167,155.6333,28.05,76,38,1.25,PG,2021-04-30 02:05:43
3436595,Yhú,-25.05,-55.9167,14.42,63,0,2.19,PY,2021-04-30 02:05:43
5882953,Aklavik,68.2191,-135.0107,6.0,39,39,2.06,CA,2021-04-30 02:05:44
1511329,Asbestovskiy,57.7557,61.3967,2.65,72,34,3.47,RU,2021-04-30 02:05:44
6148373,Sioux Lookout,50.1001,-91.917,3.0,65,90,5.66,CA,2021-04-30 02:05:45
4726521,San Patricio,28.017,-97.5169,24.88,100,75,3.09,US,2021-04-30 01:57:03
2015306,Tiksi,71.6872,128.8694,0.01,82,89,2.3,RU,2021-04-30 02:05:45
2138555,Poum,-20.2333,164.0167,25.42,58,76,6.92,NC,2021-04-30 02:05:46
2152659,Port Macquarie,-31.4333,152.9167,22.48,65,7,0.45,AU,2021-04-30 02:05:46
2120400,Tungor,53.3808,142.9564,1.02,78,80,3.07,RU,2021-04-30 02:05:47
5296802,Green Valley,31.8543,-110.9937,22.74,22,0,0.89,US,2021-04-30 02:05:47
1737185,Kapit,2.0167,112.9333,27.94,77,84,0.76,MY,2021-04-30 02:05:47
4021858,Guerrero Negro,27.9769,-114.0611,18.31,68,0,7.52,MX,2021-04-30 02:05:48
2145214,Victoria Point,-27.5833,153.3,23.21,85,60,0.89,AU,2021-04-30 02:05:48
986717,Kruisfontein,-34.0033,24.7314,13.33,95,100,0.45,ZA,2021-04-30 02:05:49
55671,Kismayo,-0.3582,42.5454,27.24,79,92,4.03,SO,2021-04-30 02:05:49
1486321,Yar-Sale,66.8333,70.8333,-2.15,96,100,3.31,RU,2021-04-30 02:05:49
613918,Khobi,42.3156,41.8987,11.0,87,0,1.54,GE,2021-04-30 02:05:50
3573374,The Valley,18.217,-63.0578,25.7,73,40,5.14,AI,2021-04-30 02:01:29
2630299,Hofn,64.2539,-15.2082,4.06,64,16,3.3,IS,2021-04-30 01:56:00
3894426,Coyhaique,-45.5752,-72.0662,10.13,95,70,2.36,CL,2021-04-30 01:56:43
1610963,Dan Khun Thot,15.2085,101.7714,26.19,100,75,2.85,TH,2021-04-30 02:05:51
2206894,Hokitika,-42.7167,170.9667,13.99,76,100,1.58,NZ,2021-04-30 02:05:51
3440791,Getulio Vargas,-32.6796,-53.5494,12.59,83,0,1.79,UY,2021-04-30 02:05:52
